00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:35:42.585 UTC [kvledger] CommitWithPvtData -> INFO 900b[0m [channelall] Committed block [0] with 1 transaction(s) in 19ms (state_validation=0ms block_commit=8ms state_commit=8ms)
MIICRDCCAeqgAwIBAgIRAOL42qrH9H5XpVToCNVGuVkwCgYIKoZIzj0EAwIwczEL
[34m2019-05-10 21:36:59.988 UTC [kvledger] CommitWithPvtData -> INFO a8ef[0m [channelall] Committed block [1] with 1 transaction(s) in 20ms (state_validation=0ms block_commit=14ms state_commit=2ms)
[34m2019-05-10 21:37:18.709 UTC [kvledger] CommitWithPvtData -> INFO af51[0m [channelall] Committed block [2] with 1 transaction(s) in 25ms (state_validation=0ms block_commit=18ms state_commit=3ms)
[34m2019-05-10 21:37:25.060 UTC [kvledger] CommitWithPvtData -> INFO b1d1[0m [channelall] Committed block [3] with 1 transaction(s) in 19ms (state_validation=0ms block_commit=12ms state_commit=3ms)
[34m2019-05-10 21:37:28.719 UTC [kvledger] CommitWithPvtData -> INFO b2ea[0m [channelall] Committed block [4] with 1 transaction(s) in 22ms (state_validation=0ms block_commit=16ms state_commit=3ms)
[34m2019-05-10 21:37:31.086 UTC [kvledger] CommitWithPvtData -> INFO b45a[0m [channelall] Committed block [5] with 2 transaction(s) in 21ms (state_validation=0ms block_commit=13ms state_commit=4ms)
[34m2019-05-10 21:37:34.496 UTC [kvledger] CommitWithPvtData -> INFO b53c[0m [channelall] Committed block [6] with 2 transaction(s) in 25ms (state_validation=0ms block_commit=18ms state_commit=3ms)
[34m2019-05-10 21:37:36.982 UTC [kvledger] CommitWithPvtData -> INFO b6cf[0m [channelall] Committed block [7] with 3 transaction(s) in 23ms (state_validation=0ms block_commit=17ms state_commit=3ms)
[34m2019-05-10 21:37:40.894 UTC [kvledger] CommitWithPvtData -> INFO b856[0m [channelall] Committed block [8] with 3 transaction(s) in 21ms (state_validation=0ms block_commit=15ms state_commit=3ms)
[34m2019-05-10 21:37:43.432 UTC [kvledger] CommitWithPvtData -> INFO b932[0m [channelall] Committed block [9] with 4 transaction(s) in 21ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:46.404 UTC [kvledger] CommitWithPvtData -> INFO ba84[0m [channelall] Committed block [10] with 4 transaction(s) in 35ms (state_validation=0ms block_commit=28ms state_commit=3ms)
[34m2019-05-10 21:37:49.055 UTC [kvledger] CommitWithPvtData -> INFO bbab[0m [channelall] Committed block [11] with 5 transaction(s) in 28ms (state_validation=0ms block_commit=21ms state_commit=3ms)
[34m2019-05-10 21:37:52.104 UTC [kvledger] CommitWithPvtData -> INFO bcf9[0m [channelall] Committed block [12] with 4 transaction(s) in 43ms (state_validation=0ms block_commit=37ms state_commit=3ms)
[34m2019-05-10 21:37:54.518 UTC [kvledger] CommitWithPvtData -> INFO bda8[0m [channelall] Committed block [13] with 4 transaction(s) in 22ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:37:56.565 UTC [kvledger] CommitWithPvtData -> INFO beba[0m [channelall] Committed block [14] with 3 transaction(s) in 28ms (state_validation=0ms block_commit=20ms state_commit=4ms)
[34m2019-05-10 21:38:02.622 UTC [kvledger] CommitWithPvtData -> INFO c142[0m [channelall] Committed block [15] with 3 transaction(s) in 13ms (state_validation=0ms block_commit=9ms state_commit=1ms)
[34m2019-05-10 21:38:02.640 UTC [kvledger] CommitWithPvtData -> INFO c174[0m [channelall] Committed block [16] with 5 transaction(s) in 15ms (state_validation=0ms block_commit=11ms state_commit=1ms)
[34m2019-05-10 21:38:03.532 UTC [kvledger] CommitWithPvtData -> INFO c194[0m [channelall] Committed block [17] with 3 transaction(s) in 50ms (state_validation=0ms block_commit=43ms state_commit=3ms)
[34m2019-05-10 21:38:06.647 UTC [kvledger] CommitWithPvtData -> INFO c377[0m [channelall] Committed block [18] with 5 transaction(s) in 20ms (state_validation=0ms block_commit=14ms state_commit=3ms)
[34m2019-05-10 21:38:09.142 UTC [kvledger] CommitWithPvtData -> INFO c424[0m [channelall] Committed block [19] with 4 transaction(s) in 44ms (state_validation=0ms block_commit=38ms state_commit=3ms)
[34m2019-05-10 21:38:11.795 UTC [kvledger] CommitWithPvtData -> INFO c555[0m [channelall] Committed block [20] with 2 transaction(s) in 41ms (state_validation=0ms block_commit=35ms state_commit=2ms)
[34m2019-05-10 21:38:13.855 UTC [kvledger] CommitWithPvtData -> INFO c60f[0m [channelall] Committed block [21] with 5 transaction(s) in 26ms (state_validation=0ms block_commit=18ms state_commit=3ms)
