00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
00000010  22 bb 35 3c a8 7a 79 20  ed dc 6c 55 40 70 56 54  |".5<.zy ..lU@pVT|
[34m2019-05-10 21:35:42.671 UTC [kvledger] CommitWithPvtData -> INFO 9243[0m [channelall] Committed block [0] with 1 transaction(s) in 13ms (state_validation=0ms block_commit=8ms state_commit=2ms)
MIICRDCCAeqgAwIBAgIRAOL42qrH9H5XpVToCNVGuVkwCgYIKoZIzj0EAwIwczEL
[34m2019-05-10 21:36:59.973 UTC [kvledger] CommitWithPvtData -> INFO ab46[0m [channelall] Committed block [1] with 1 transaction(s) in 22ms (state_validation=0ms block_commit=13ms state_commit=3ms)
[34m2019-05-10 21:37:18.706 UTC [kvledger] CommitWithPvtData -> INFO b1ca[0m [channelall] Committed block [2] with 1 transaction(s) in 28ms (state_validation=0ms block_commit=20ms state_commit=5ms)
[34m2019-05-10 21:37:25.057 UTC [kvledger] CommitWithPvtData -> INFO b43f[0m [channelall] Committed block [3] with 1 transaction(s) in 19ms (state_validation=0ms block_commit=12ms state_commit=3ms)
[34m2019-05-10 21:37:28.708 UTC [kvledger] CommitWithPvtData -> INFO b57b[0m [channelall] Committed block [4] with 1 transaction(s) in 20ms (state_validation=0ms block_commit=12ms state_commit=4ms)
[34m2019-05-10 21:37:31.072 UTC [kvledger] CommitWithPvtData -> INFO b6f3[0m [channelall] Committed block [5] with 2 transaction(s) in 17ms (state_validation=0ms block_commit=9ms state_commit=3ms)
[34m2019-05-10 21:37:34.496 UTC [kvledger] CommitWithPvtData -> INFO b7ea[0m [channelall] Committed block [6] with 2 transaction(s) in 26ms (state_validation=0ms block_commit=19ms state_commit=3ms)
[34m2019-05-10 21:37:36.972 UTC [kvledger] CommitWithPvtData -> INFO b9a1[0m [channelall] Committed block [7] with 3 transaction(s) in 23ms (state_validation=0ms block_commit=14ms state_commit=4ms)
[34m2019-05-10 21:37:40.867 UTC [kvledger] CommitWithPvtData -> INFO baa7[0m [channelall] Committed block [8] with 3 transaction(s) in 13ms (state_validation=0ms block_commit=8ms state_commit=2ms)
[34m2019-05-10 21:37:43.423 UTC [kvledger] CommitWithPvtData -> INFO bc0b[0m [channelall] Committed block [9] with 4 transaction(s) in 21ms (state_validation=0ms block_commit=14ms state_commit=4ms)
